species,study.id,dataset.id,wild.lab,order,family,genus,trophic.group,latitude,longitude,study.location,diet,diet2,diet.details,temperature.c,temperature.variation,passage.time.h,ln.passage.time,passage.time.sd,passage.time.n,age.class,bodylength.metric,bodylength.avg.mm,ln.bodylength,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.n,mass.avg.g,mass.sd.g,mass.se.g,mass.min.g,mass.max.g,mass.n,reference,notes
Fundulus_heteroclitus,33,33B,lab,Cyprinodontiformes,Fundulidae,Fundulus,carnivore,44.4,-68.8,Penobscot Bay Maine,carnivore,carnivore,Orchestia grillus,21,,7,1.945910149,,,,,60,4.094344562,,,,,3,,,<1,>3,,"Targett, T. E. (1979). The effect of temperature and body size on digestive efficiency in Fundulus heteroclitus (L.). Journal of Experimental Marine Biology and Ecology, 38(2), 179–186.","Assumed average weight of 3g, calculated length from Kneib, R. T., & Stiven, A. E. (1978). Growth, reproduction, and feeding oF Fundulus heteroclitus (L.) on a North Carolina salt marsh. Journal of Experimental Marine Biology and Ecology, 31(2), 121–140."
Fundulus_heteroclitus,33,33A,lab,Cyprinodontiformes,Fundulidae,Fundulus,carnivore,44.4,-68.8,Penobscot Bay Maine,carnivore,carnivore,Orchestia grillus,29,,4,1.386294361,,,,,59,4.077537444,,,,,3,,,<1,>3,,"Targett, T. E. (1979). The effect of temperature and body size on digestive efficiency in Fundulus heteroclitus (L.). Journal of Experimental Marine Biology and Ecology, 38(2), 179–186.","Assumed average weight of 3g, calculated length from Kneib, R. T., & Stiven, A. E. (1978). Growth, reproduction, and feeding oF Fundulus heteroclitus (L.) on a North Carolina salt marsh. Journal of Experimental Marine Biology and Ecology, 31(2), 121–140."
Sparisoma_radians,12,12A,lab,Perciformes,Scaridae,Sparisoma,herbivore,17.7,-64.8,St Croix US Virgin Islands,seagrass,seagrass,Thalassia testidinum,26,,1.5,0.405465108,,,,standard,61,4.110873864,52,70,,,,,,,,,"Targett, T. E., & Targett, N. M. (1990). Energetics of food selection by the herbivorous parrotfish Sparisoma radians: roles of assimilation efficiency, gut evacuation rate, and algal secondary metabolites. Mar Ecol Prog Ser, 66, 13–21.",Took midpoint length as average length.
Sardinops_sagax,18,SA5B,lab,Clupeiformes,Clupeidae,Sardinops,herbivore,-33.9,18.4,Cape Town South Africa,diatoms,diatoms,"Chaetoceros, Skeletonema, Asterionella",19.4,,1,0,,,adult,total,205,5.323009979,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,SA3A,lab,Clupeiformes,Clupeidae,Sardinops,herbivore,-33.9,18.4,Cape Town South Africa,diatoms,diatoms,Chaetocerus and Skeletonema,19.8,,2,0.693147181,,,adult,total,205,5.323009979,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,SA3B,lab,Clupeiformes,Clupeidae,Sardinops,herbivore,-33.9,18.4,Cape Town South Africa,diatoms,diatoms,Chaetocerus and Skeletonema,20,,4,1.386294361,,,adult,total,205,5.323009979,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,SA2A,lab,Clupeiformes,Clupeidae,Sardinops,herbivore,-33.9,18.4,Cape Town South Africa,diatoms,diatoms,Melosira,19.1,,4,1.386294361,,,adult,total,205,5.323009979,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,LA7B,lab,Clupeiformes,Clupeidae,Sardinops,carnivore,-33.9,18.4,Cape Town South Africa,zooplankton,zooplankton,,17.1,,4,1.386294361,,,adult,total,253,5.533389489,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,LA7A,lab,Clupeiformes,Clupeidae,Sardinops,carnivore,-33.9,18.4,Cape Town South Africa,zooplankton,zooplankton,,17.3,,5,1.609437912,,,adult,total,253,5.533389489,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,SA2B,lab,Clupeiformes,Clupeidae,Sardinops,carnivore,-33.9,18.4,Cape Town South Africa,zooplankton,zooplankton,,19.6,,4,1.386294361,,,adult,total,205,5.323009979,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,LA9A,lab,Clupeiformes,Clupeidae,Sardinops,carnivore,-33.9,18.4,Cape Town South Africa,zooplankton,zooplankton,,20.2,,3,1.098612289,,,adult,total,253,5.533389489,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
Sardinops_sagax,18,LA9B,lab,Clupeiformes,Clupeidae,Sardinops,carnivore,-33.9,18.4,Cape Town South Africa,zooplankton,zooplankton,,20.3,,1,0,,,adult,total,253,5.533389489,,,,,,,,,,,"van der Lingen, C. (1998). Nitrogen excretion and absorption efficiencies of sardine Sardinops sagax fed phytoplankton and zooplankton diets. Marine Ecology Progress Series, 175, 67–76.","Extracted time data from x-axis of graph showing feeding time and magnitude of feces production.  Excluded some datasets because it was impossible to tell whether feces were from a previous meal (i.e., defecation commenced before feeding)"
